iter	Passed	Remaining
0	56	56635
1	61	30894
2	66	22196
3	70	17560
4	74	14783
5	79	13098
6	84	11924
7	88	10998
8	93	10274
9	98	9711
10	102	9227
11	107	8843
12	112	8515
13	116	8236
14	121	7986
15	126	7769
16	130	7568
17	136	7428
18	140	7273
19	145	7140
20	151	7044
21	155	6929
22	160	6823
23	165	6734
24	170	6647
25	175	6570
26	180	6496
27	185	6427
28	189	6358
29	194	6299
30	199	6239
31	204	6184
32	209	6127
33	213	6073
34	218	6031
35	223	5985
36	228	5949
37	233	5916
38	238	5873
39	241	5791
40	246	5757
41	250	5720
42	254	5663
43	259	5629
44	262	5579
45	267	5546
46	271	5501
47	276	5483
48	280	5445
49	284	5402
50	288	5360
51	291	5321
52	295	5283
53	299	5251
54	303	5213
55	307	5179
56	311	5147
57	314	5112
58	318	5080
59	322	5050
60	325	5017
61	330	4996
62	333	4967
63	338	4952
64	343	4937
65	346	4910
66	351	4889
67	354	4864
68	359	4844
69	363	4829
70	367	4804
71	371	4791
72	375	4767
73	380	4757
74	383	4735
75	386	4699
76	390	4684
77	395	4673
78	399	4661
79	403	4640
80	407	4620
81	411	4602
82	414	4584
83	418	4564
84	422	4548
85	427	4540
86	431	4523
87	434	4505
88	438	4487
89	442	4470
90	445	4453
91	449	4437
92	453	4420
93	457	4407
94	460	4388
95	464	4372
96	468	4363
97	472	4349
98	476	4335
99	480	4321
100	484	4309
101	488	4297
102	492	4284
103	495	4272
104	499	4258
105	504	4253
106	508	4240
107	511	4228
108	515	4215
109	519	4203
110	523	4192
111	528	4187
112	531	4174
113	535	4163
114	540	4156
115	543	4143
116	547	4134
117	551	4123
118	556	4117
119	559	4101
120	563	4090
121	566	4079
122	570	4069
123	575	4064
124	579	4054
125	583	4044
126	587	4035
127	590	4025
128	594	4016
129	598	4007
130	602	3997
131	607	3995
132	611	3986
133	615	3975
134	618	3965
135	622	3955
136	626	3948
137	630	3940
138	634	3931
139	638	3922
140	642	3914
141	646	3904
142	650	3896
143	653	3887
144	657	3878
145	661	3869
146	665	3861
147	669	3853
148	673	3845
149	677	3836
150	680	3828
151	684	3820
152	688	3813
153	692	3805
154	696	3796
155	700	3789
156	704	3781
157	707	3772
158	711	3765
159	715	3757
160	719	3750
161	723	3742
162	727	3735
163	731	3728
164	735	3721
165	739	3713
166	742	3706
167	747	3700
168	750	3691
169	754	3684
170	758	3677
171	762	3669
172	766	3662
173	770	3656
174	774	3649
175	778	3643
176	782	3637
177	785	3625
178	788	3618
179	792	3610
180	796	3604
181	800	3596
182	803	3589
183	807	3581
184	811	3574
185	814	3564
186	818	3557
187	822	3550
188	825	3543
189	829	3537
190	833	3530
191	837	3524
192	841	3517
193	844	3510
194	848	3504
195	852	3498
196	856	3493
197	860	3487
198	864	3480
199	868	3473
200	873	3470
201	876	3464
202	880	3458
203	884	3451
204	888	3445
205	892	3439
206	896	3433
207	899	3426
208	903	3420
209	907	3415
210	911	3408
211	915	3402
212	919	3396
213	923	3390
214	926	3383
215	930	3377
216	934	3371
217	938	3365
218	942	3359
219	945	3353
220	949	3346
221	953	3340
222	957	3334
223	960	3328
224	964	3321
225	968	3315
226	971	3309
227	975	3303
228	979	3297
229	983	3291
230	986	3284
231	991	3281
232	995	3275
233	998	3269
234	1002	3264
235	1006	3259
236	1010	3253
237	1014	3246
238	1017	3240
239	1021	3234
240	1024	3227
241	1028	3221
242	1031	3214
243	1035	3208
244	1039	3202
245	1042	3196
246	1046	3190
247	1049	3183
248	1053	3178
249	1057	3172
250	1060	3165
251	1064	3159
252	1068	3153
253	1071	3147
254	1075	3142
255	1079	3135
256	1082	3129
257	1086	3123
258	1089	3117
259	1093	3111
260	1096	3105
261	1100	3099
262	1103	3092
263	1107	3088
264	1111	3082
265	1114	3076
266	1118	3070
267	1122	3064
268	1125	3058
269	1129	3053
270	1132	3047
271	1136	3041
272	1140	3035
273	1143	3030
274	1147	3024
275	1151	3019
276	1154	3014
277	1158	3009
278	1162	3003
279	1170	3009
280	1174	3004
281	1177	2998
282	1181	2992
283	1184	2986
284	1188	2980
285	1191	2974
286	1194	2968
287	1198	2962
288	1202	2957
289	1206	2952
290	1209	2947
291	1213	2942
292	1217	2937
293	1221	2932
294	1224	2927
295	1228	2921
296	1231	2915
297	1235	2910
298	1239	2904
299	1242	2899
300	1246	2894
301	1249	2888
302	1253	2883
303	1257	2878
304	1260	2872
305	1264	2867
306	1268	2863
