iter	Passed	Remaining
0	58	58628
1	66	32947
2	72	24103
3	79	19679
4	85	16947
5	91	15160
6	97	13887
7	104	12916
8	110	12130
9	116	11540
10	122	11023
11	128	10576
12	134	10221
13	140	9910
14	146	9652
15	153	9421
16	159	9230
17	165	9021
18	171	8853
19	177	8703
20	184	8580
21	189	8430
22	195	8312
23	201	8189
24	207	8086
25	213	7992
26	218	7891
27	224	7806
28	230	7724
29	236	7645
30	241	7564
31	247	7487
32	253	7416
33	258	7353
34	264	7294
35	269	7229
36	275	7182
37	281	7125
38	287	7080
39	292	7027
40	298	6975
41	303	6927
42	309	6898
43	316	6866
44	321	6830
45	327	6799
46	333	6764
47	339	6737
48	345	6706
49	351	6686
50	357	6660
51	363	6631
52	369	6606
53	375	6583
54	381	6560
55	387	6539
56	393	6508
57	399	6491
58	405	6472
59	411	6446
60	417	6432
61	423	6412
62	430	6395
63	435	6374
64	441	6348
65	447	6329
66	453	6311
67	459	6296
68	465	6281
69	471	6267
70	478	6258
71	484	6246
72	491	6237
73	497	6221
74	503	6208
75	509	6193
76	515	6173
77	520	6155
78	526	6141
79	532	6124
80	538	6110
81	544	6095
82	550	6086
83	556	6070
84	562	6053
85	568	6044
86	575	6038
87	582	6032
88	589	6029
89	596	6032
90	604	6038
91	611	6038
92	617	6026
93	623	6009
94	628	5988
95	633	5969
96	640	5959
97	646	5946
98	652	5936
99	658	5924
100	664	5913
101	670	5904
102	676	5895
103	682	5880
104	687	5863
105	693	5852
106	700	5843
107	706	5832
108	712	5823
109	718	5812
110	724	5802
111	730	5793
112	736	5783
113	743	5775
114	749	5766
115	755	5754
116	761	5745
117	766	5729
118	771	5714
119	778	5707
120	784	5697
121	790	5687
122	796	5679
123	802	5670
124	808	5659
125	814	5649
126	820	5639
127	826	5629
128	831	5615
129	837	5607
130	843	5595
131	849	5587
132	855	5578
133	861	5565
134	867	5555
135	872	5542
136	878	5534
137	884	5524
138	890	5516
139	896	5504
140	902	5497
141	909	5494
142	915	5486
143	920	5473
144	926	5464
145	933	5458
146	940	5454
147	945	5444
148	951	5437
149	958	5429
150	963	5416
151	969	5410
152	975	5402
153	982	5395
154	987	5383
155	994	5378
156	1000	5372
157	1006	5361
158	1013	5359
159	1018	5347
160	1023	5334
161	1029	5326
162	1034	5314
163	1040	5303
164	1046	5296
165	1052	5287
166	1058	5277
167	1063	5267
168	1069	5258
169	1075	5251
170	1080	5239
171	1085	5227
172	1090	5215
173	1096	5205
174	1101	5193
175	1107	5186
176	1113	5177
177	1120	5172
178	1126	5168
179	1132	5157
180	1139	5155
181	1144	5143
182	1150	5136
183	1156	5128
184	1161	5118
185	1167	5110
186	1172	5099
187	1178	5088
188	1184	5080
189	1190	5075
190	1196	5068
191	1201	5058
192	1207	5048
193	1212	5035
194	1217	5027
195	1234	5064
196	1250	5096
197	1255	5085
198	1260	5074
199	1266	5067
200	1273	5060
201	1278	5049
202	1284	5044
203	1290	5035
204	1295	5025
205	1301	5018
206	1307	5007
207	1312	4997
208	1317	4987
209	1324	4980
210	1330	4973
211	1335	4963
212	1341	4956
213	1347	4948
214	1352	4937
215	1358	4929
216	1362	4918
217	1369	4910
218	1374	4902
219	1380	4894
220	1386	4887
221	1392	4879
222	1397	4869
223	1403	4861
224	1409	4855
225	1414	4844
226	1421	4839
227	1426	4831
228	1433	4825
229	1438	4815
230	1443	4806
231	1450	4800
232	1456	4795
233	1463	4789
234	1468	4778
235	1473	4769
236	1478	4759
237	1484	4752
238	1489	4742
239	1495	4735
240	1501	4727
241	1507	4720
242	1512	4710
243	1518	4704
244	1523	4696
245	1529	4688
246	1535	4680
247	1541	4672
248	1547	4666
249	1551	4655
250	1557	4647
251	1562	4637
252	1569	4633
253	1574	4625
254	1580	4618
255	1586	4611
256	1592	4604
257	1598	4596
258	1604	4589
259	1610	4583
260	1615	4573
261	1621	4566
262	1627	4559
263	1633	4552
264	1639	4547
265	1645	4540
266	1651	4533
267	1657	4526
268	1663	4519
269	1669	4513
270	1674	4503
271	1679	4496
272	1685	4489
273	1691	4483
274	1697	4475
275	1703	4468
276	1709	4462
277	1715	4455
278	1721	4448
279	1726	4440
280	1731	4431
281	1736	4422
282	1742	4415
283	1748	4408
284	1753	4399
285	1759	4393
286	1766	4387
287	1771	4378
288	1777	4372
289	1782	4365
290	1789	4359
291	1794	4350
292	1800	4344
293	1806	4338
294	1811	4329
295	1817	4322
296	1823	4315
297	1829	4309
298	1835	4303
299	1841	4296
300	1847	4289
301	1853	4283
302	1859	4277
303	1865	4271
304	1871	4265
305	1877	4258
306	1883	4252
307	1889	4245
308	1895	4239
309	1901	4232
310	1907	4225
311	1913	4218
312	1919	4212
313	1925	4205
314	1931	4199
315	1937	4192
316	1942	4185
317	1948	4179
318	1953	4171
319	1958	4162
320	1964	4154
321	1970	4148
322	1976	4141
323	1981	4134
324	1987	4127
325	1993	4120
326	1999	4114
327	2005	4108
328	2010	4100
329	2016	4094
330	2022	4087
331	2028	4080
332	2033	4072
333	2038	4064
334	2043	4056
335	2048	4048
336	2054	4041
337	2060	4035
338	2066	4029
339	2072	4023
340	2078	4016
341	2084	4010
342	2090	4004
343	2096	3997
344	2102	3990
345	2107	3984
346	2113	3977
347	2119	3970
348	2125	3964
349	2130	3956
350	2135	3949
351	2140	3941
352	2146	3933
353	2151	3925
354	2156	3917
355	2161	3910
356	2166	3902
357	2171	3894
358	2177	3887
359	2182	3879
360	2187	3872
361	2192	3864
362	2197	3856
