iter	Passed	Remaining
0	5	5350
1	9	4946
2	14	4852
3	18	4575
4	21	4321
5	26	4322
6	30	4392
7	35	4416
8	40	4412
9	44	4442
10	49	4475
11	54	4479
12	59	4482
13	63	4494
14	68	4516
15	73	4500
16	77	4483
17	82	4473
18	86	4479
19	91	4502
20	96	4505
21	101	4490
22	105	4496
23	110	4489
24	114	4474
25	119	4484
26	124	4472
27	128	4462
28	133	4454
29	138	4475
30	142	4467
31	148	4481
32	152	4470
33	157	4469
34	161	4465
35	166	4454
36	171	4454
37	175	4445
38	179	4434
39	184	4436
40	189	4438
41	194	4446
42	199	4448
43	204	4448
44	209	4438
45	212	4412
46	216	4387
47	219	4359
48	223	4340
49	227	4314
50	230	4290
51	234	4277
52	238	4257
53	241	4238
54	245	4222
55	249	4203
56	252	4180
57	256	4159
58	259	4144
59	264	4141
60	268	4126
61	271	4107
62	275	4091
63	278	4072
64	282	4057
65	285	4043
66	289	4027
67	292	4012
68	296	3997
69	299	3984
70	303	3974
71	307	3961
72	310	3948
73	314	3934
74	318	3926
75	321	3911
76	324	3893
77	328	3883
78	332	3870
79	335	3858
80	338	3845
81	342	3830
82	345	3819
83	348	3803
84	352	3790
85	355	3779
86	359	3769
87	362	3757
88	366	3747
89	369	3735
90	373	3727
91	376	3717
92	380	3708
93	383	3699
94	387	3691
95	390	3681
96	394	3673
97	397	3662
98	401	3655
99	405	3645
100	408	3639
101	412	3631
102	416	3624
103	419	3616
104	423	3607
105	426	3600
106	430	3594
107	434	3585
108	437	3578
109	441	3574
110	445	3565
111	448	3558
112	452	3550
113	455	3542
114	459	3534
115	462	3528
116	466	3519
117	469	3512
118	473	3504
119	477	3499
120	480	3493
121	484	3486
122	488	3480
123	491	3473
124	496	3474
125	499	3467
126	503	3461
127	506	3453
128	510	3447
129	513	3439
130	517	3430
131	520	3422
132	523	3415
133	527	3409
134	531	3404
135	534	3396
136	538	3391
137	541	3384
138	545	3378
139	548	3367
140	551	3362
141	555	3356
142	558	3348
143	562	3344
144	566	3337
145	569	3331
146	573	3325
147	576	3319
148	580	3312
149	583	3306
150	586	3300
151	590	3294
152	593	3288
153	597	3282
154	600	3275
155	604	3269
156	607	3262
157	611	3256
158	614	3249
159	617	3244
160	621	3238
161	624	3232
162	628	3226
163	631	3220
164	635	3215
165	638	3209
166	642	3203
167	645	3198
168	649	3192
169	652	3187
170	656	3181
171	659	3176
172	663	3170
173	666	3164
174	670	3159
175	673	3153
176	677	3151
177	681	3146
178	684	3141
179	688	3137
180	693	3136
181	696	3131
182	700	3125
183	703	3118
184	706	3113
185	710	3109
186	714	3107
187	718	3101
188	721	3096
189	725	3091
190	728	3086
191	732	3080
192	735	3075
193	739	3070
194	742	3064
195	746	3060
196	749	3056
197	753	3052
198	757	3047
199	760	3043
200	764	3038
201	767	3033
202	771	3029
203	775	3025
204	779	3021
205	782	3017
206	786	3011
207	789	3006
208	793	3002
209	796	2997
210	800	2992
211	804	2988
212	807	2984
213	811	2980
214	815	2976
215	818	2971
216	822	2967
217	825	2961
218	828	2955
219	832	2950
220	835	2946
221	839	2942
222	842	2936
223	846	2931
224	849	2926
225	853	2922
226	856	2917
227	860	2912
228	863	2908
229	867	2903
230	870	2897
231	874	2893
232	877	2889
233	881	2884
234	885	2881
235	888	2876
236	892	2872
237	895	2867
238	899	2863
239	902	2858
240	906	2854
241	909	2849
242	913	2844
243	916	2841
244	919	2835
245	923	2830
246	926	2825
247	930	2820
248	933	2815
249	936	2809
250	939	2804
251	943	2800
252	946	2795
253	950	2791
254	954	2787
255	957	2782
256	960	2778
257	964	2773
258	967	2768
259	971	2764
260	974	2759
261	977	2754
262	980	2748
263	984	2744
264	988	2742
265	991	2737
266	994	2731
267	998	2727
268	1002	2723
269	1005	2719
270	1009	2715
271	1012	2710
272	1016	2706
273	1019	2702
274	1023	2698
275	1026	2693
276	1030	2689
277	1033	2684
278	1037	2680
279	1041	2677
280	1044	2672
281	1048	2668
282	1051	2664
283	1055	2660
284	1058	2655
285	1062	2652
286	1065	2646
287	1068	2640
288	1071	2636
289	1075	2632
290	1079	2629
291	1082	2624
292	1085	2620
293	1089	2616
294	1092	2611
295	1096	2607
296	1099	2603
297	1103	2599
